Wine Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Bottle Image,One Liner Description,Vintage,Soil Type,Grape Variety,Wine Type,Price of Bottle,Long decription,Winemaking Method,Ageing,Tasting Notes,Food Pairing,Expert Ratings,Soil_Text,VariantID,AltName
Alain Chavy Puligny Montrachet 2020,alain-chavy-puligny-montrachet-2020,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,6759663f54346ec8e64137ef,Wed Dec 11 2024 10:15:27 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:43 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/6762e26fb0865656f5cefddd_675967b3168b2c49c1f89f78_Alain.png,,"2018, 2020, 2021",clay; limestone,chardonnay,white,498,,Fermented in Oak Barrels,12-15 months in French oak barrels,"Fresh citrus, white flowers, mineral, elegant acidity","Lobster, roast chicken, creamy pasta",92-94 (Robert Parker),,,Alain Chavy Puligny Montrachet 2020
"Aldeneyck 'Herenlaak' Chardonnay Maaseik, Belgium 2020",aldeneyck-herenlaak-chardonnay-maaseik-belgium-2020,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675abeb8f5b8ae9f4957ea0f,Thu Dec 12 2024 10:45:12 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:44 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675abeb8f5b8ae9f4957e9f2_6734e1e7a2f2ae337490a3ab_Aldeneyck%2520%2527Herenlaak%2527%2520Chardonnay%2520Maaseik%252C%2520Belgium%25202020.png,,"2019, 2020",sandy-loam,chardonnay,white,229,,Cold fermentation,6-8 months in stainless steel,"Tropical fruits, green apple, crisp finish","Grilled fish, salads, soft cheeses",88-90,,,"Aldeneyck 'Herenlaak' Chardonnay Maaseik, Belgium 2020"
"Andre Beaufort Non Dose Potion x Tregalli, Champagne 2020",andre-beaufort-non-dose-potion-x-tregalli-champagne-2020,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675abeb8ffef03d7b87faa90,Thu Dec 12 2024 10:45:12 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:44 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675abeb8ffef03d7b87faa86_6734e1e81e125c51d930ae52_Andre%2520Beaufort%2520Non%2520Dose%2520Potion%2520x%2520Tregalli%252C%2520Champagne%25202020.png,,"2020, 2021",chalk; marl,chardonnay; pinot-noir,sparkling,598,,"No dosage, biodynamic",2-3 years on lees,"Crisp citrus, green apple, floral, mineral-driven","Sashimi, shellfish, goat cheese",92-94,,,"Andre Beaufort Non Dose Potion x Tregalli, Champagne 2020"
"Andre Beaufort a Polisy Brut Reserve, Champagne NV",andre-beaufort-a-polisy-brut-reserve-champagne-nv,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675abeb8c4d8b6e33489368b,Thu Dec 12 2024 10:45:12 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:43 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675abeb8c4d8b6e33489364c_6734e1e7496e9f363c5bb903_Andre%2520Beaufort%2520a%2520Polisy%2520Brut%2520Reserve%252C%2520Champagne%2520NV.png,,"NV blends vary, consistent",chalk; marl,chardonnay; pinot-noir; pinot-meunier,sparkling,598,,"Biodynamic, spontaneous fermentation",3-4 years on lees,"Brioche, apple, nuts, complex texture","Oysters, caviar, light appetizers",91-93 (Wine Spectator),,,"Andre Beaufort a Polisy Brut Reserve, Champagne NV"
Angelina Brut Reserve Sparkling Wine 2012,angelina-brut-reserve-sparkling-wine-2012,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2742fb10441f8100deec,Thu Dec 12 2024 18:11:14 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:44 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2740fb10441f8100dc29_6734e1e8380f36befdb4b87a_Angelina%2520Brut%2520Reserve%2520Sparkling%2520Wine%25202012.png,,"2012, 2013",mixed-volcanic,chardonnay; pinot-noir,sparkling,298,,Traditional method,6-7 years on lees,"Rich brioche, baked pear, toasted almonds","Duck, truffles, rich creamy sauces",90-92,,354671,Angelina Brut Reserve Sparkling Wine 2012
Anne et Jean-Francois Ganevat Cotes du Jura 'La Barraque' Savagnin 2020,anne-et-jean-francois-ganevat-cotes-du-jura-la-barraque-savagnin-2020,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27401c9f109b3672d7d0,Thu Dec 12 2024 18:11:12 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:43 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27401c9f109b3672d737_6734e1e8bdd26229c6f22a88_Anne%2520et%2520Jean-Francois%2520Ganevat%2520Cotes%2520du%2520Jura%2520%2527La%2520Barraque%2527%2520Savagnin%25202020.png,,"2018, 2020",marl; limestone,savagnin,white,938,,"Natural fermentation, no fining",12-18 months in neutral barrels,"Zesty citrus, hazelnut, saline, herbal notes","Smoked salmon, comté cheese, mushroom dishes",92-95,,354673,Anne et Jean-Francois Ganevat Cotes du Jura 'La Barraque' Savagnin 2020
Armand Heitz Saint Aubin 1er Cru Murgers Dents de Chien 2019,armand-heitz-saint-aubin-1er-cru-murgers-dents-de-chien-2019,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2741c032071eb45a117d,Thu Dec 12 2024 18:11:13 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:44 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2741c032071eb45a10d8_6734e1e7c19f9467dc9c23d0_Armand%2520Heitz%2520Saint%2520Aubin%25201er%2520cru%2520murgers%2520dents%2520de%2520chien%25202019.png,,2019,limestone,chardonnay,white,698,,Fermentation in oak barrels,12 months in French oak barrels,"Citrus, stone fruit, mineral finish","Seafood, poultry, creamy dishes",92–94 (Wine Advocate),,354675,Armand Heitz Saint Aubin 1er Cru Murgers Dents de Chien 2019
Ausás Interpretación Ribeira del Duero 2018,ausas-interpretacion-ribeira-del-duero-2018,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b2784207cdd1f7e14944c,Thu Dec 12 2024 18:12:20 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:44 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b2784207cdd1f7e149430_67501c918413569b5ff6313f_Ausa%25CC%2581s%2520Interpretacio%25CC%2581n%2520Ribeira%2520del%2520Duero%25202018.png,,2018,clay; limestone; sand,tempranillo-tinto-fino,red,598,,"Fermented in stainless steel, oak",16-18 months in French oak,"Blackberries, vanilla, spices, smooth tannins, elegant finish","Grilled lamb, beef stew, Manchego cheese",93-95 points,,,Ausas Interpretacion Ribeira del Duero 2018
Avignonesi Grandi Annate Sangiovese 2016,avignonesi-grandi-annate-sangiovese-2016,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b274073555e4688507e9e,Thu Dec 12 2024 18:11:12 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:44 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b274073555e4688507e83_673208375387060c754b74f5_Avignonesi%2520Grandi%2520Annate%2520Sangiovese%25202016.png,,2016,clay; limestone,sangiovese,red,888,,Native yeast fermentation,24 months in oak (large barrels),"Red cherries, herbs, earthy tones","Grilled meats, aged cheeses",94 (James Suckling),,354677,Avignonesi Grandi Annate Sangiovese 2016
Badia a Coltibuono Chianti Classico Riserva 2019,badia-a-coltibuono-chianti-classico-riserva-2019,675834b9bb95cd936a45d91a,672cb53b9f8f60aabd3a77c2,675b27402bf9a794d7490898,Thu Dec 12 2024 18:11:12 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:55:45 GMT+0000 (Coordinated Universal Time),Wed Dec 18 2024 14:59:00 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/672cb53b9f8f60aabd3a77f1/675b27402bf9a794d749080f_6734e1f35f170ad56939d8b6_Badia%2520a%2520Coltibuono%2520Chianti%2520Classico%2520Riserva%25201968.png,,2019,galestro; limestone,sangiovese; canaiolo,red,399,,Traditional fermentation,24 months in large oak casks,"Bright cherry, spice, floral notes","Pasta, roasted meats, tomato-based dishes",93 (Wine Enthusiast),,354679,Badia a Coltibuono Chianti Classico Riserva 2019
