Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL
"Chateau Olivier, Pessac Leognan 2010",HK$398.00,"images\Chateau_Olivier,_Pessac_Leognan_2010.jpg",,,,,https://vinewine.shoplineapp.com/products/chateau-olivier-pessac-leognan-2010
"Chateau Du Tertre, Margaux 2017",HK$350.00,"images\Chateau_Du_Tertre,_Margaux_2017.jpg",,,,,https://vinewine.shoplineapp.com/products/chateau-du-tertre-margaux-2017
Comtes Lafon Macon Milly Lamartine Clos du Four 2020,HK$290.00,images\Comtes_Lafon_Macon_Milly_Lamartine_Clos_du_Four_2020.jpg,,,,,https://vinewine.shoplineapp.com/products/comtes-lafon-macon-milly-lamartine-clos-du-four-2020
Comtes Lafon Macon Bussieres 2021,HK$285.00,images\Comtes_Lafon_Macon_Bussieres_2021.jpg,,,,,https://vinewine.shoplineapp.com/products/comtes-lafon-macon-bussieres-2021
Inniskillin Cabernet Franc Icewine 2022 - 375ml,HK$670.00,images\Inniskillin_Cabernet_Franc_Icewine_2022_-_375ml.jpg,,,,,https://vinewine.shoplineapp.com/products/inniskillin-gold-vidal-icewine-2018-375ml
Weingut Robert Weil Riesling Sekt Extra Brut 2020,HK$308.00,images\Weingut_Robert_Weil_Riesling_Sekt_Extra_Brut_2020.jpg,,,,,https://vinewine.shoplineapp.com/products/weingut-robert-weil-riesling-sekt-extra-brut-2017
Clay Creek Vineyards Chardonnay California 2022,HK$140.00,images\Clay_Creek_Vineyards_Chardonnay_California_2022.jpg,,,,,https://vinewine.shoplineapp.com/products/clay-creek-vineyards-chardonnay-california-2022
Clay Creek Vineyards Pinot Noir California 2022,HK$140.00,images\Clay_Creek_Vineyards_Pinot_Noir_California_2022.jpg,,,,,https://vinewine.shoplineapp.com/products/clay-creek-vineyards-pinot-noir-california-2022
Clay Creek Vineyards Cabernet Sauvignon California 2021,HK$180.00,images\Clay_Creek_Vineyards_Cabernet_Sauvignon_California_2021.jpg,,,,,https://vinewine.shoplineapp.com/products/clay-creek-vineyards-cabernet-sauvignon-california-2021
OBORA VDF Blanc.O 2023,HK$278.00,images\OBORA_VDF_Blanc.O_2023.jpg,,,,,https://vinewine.shoplineapp.com/products/obora-vdf-blanco-2023
"Domaine Belleville Santenay ""Les Hates"" 2020 (JS93)",HK$358.00,,,,,,https://vinewine.shoplineapp.com/products/domaine-belleville-santenay-les-hates-2020-js93
"Vincey, d'Oger Grand Cru, Le Grand Jardin 2018",HK$830.00,"images\Vincey,_d'Oger_Grand_Cru,_Le_Grand_Jardin_2018.jpg",,,,,https://vinewine.shoplineapp.com/products/vincey-doger-grand-cru-le-grand-jardin-2018
Domaine de Marzilly 'Ullens' La Petite Montagne Extra Brut NV,HK$598.00,images\Domaine_de_Marzilly_'Ullens'_La_Petite_Montagne_Extra_Brut_NV.jpg,,,,,https://vinewine.shoplineapp.com/products/domaine-de-marzilly-ullens-la-petite-montagne-extra-brut-nv
Chateau Talbot 2001,HK$820.00,images\Chateau_Talbot_2001.jpg,,,,,https://vinewine.shoplineapp.com/products/chateau-talbot-2001
Chateau Smith Haut Lafitte 1986,HK$998.00,images\Chateau_Smith_Haut_Lafitte_1986.jpg,,,,,https://vinewine.shoplineapp.com/products/chateau-smith-haut-lafitte-1986
Ciacci Piccolomini d'Aragona 'Fabius' Rosso Sant'Antimo 2017,HK$250.00,images\Ciacci_Piccolomini_d'Aragona_'Fabius'_Rosso_Sant'Antimo_2017.jpg,,,,,https://vinewine.shoplineapp.com/products/ciacci-piccolomini-daragona-fabius-rosso-santantimo-2017
Two Hands Shiraz Bella's Garden Barossa 2020,HK$410.00,images\Two_Hands_Shiraz_Bella's_Garden_Barossa_2020.jpg,,,,,https://vinewine.shoplineapp.com/products/two-hands-shiraz-bellas-garden-barossa-2020
Two Hands Shiraz Bella's Garden Barossa 2005,HK$590.00,images\Two_Hands_Shiraz_Bella's_Garden_Barossa_2005.jpg,,,,,https://vinewine.shoplineapp.com/products/two-hands-shiraz-bellas-garden-barossa-2005
"Joseph Drouhin, Vosne-Romanee 2020",HK$728.00,"images\Joseph_Drouhin,_Vosne-Romanee_2020.jpg",,,,,https://vinewine.shoplineapp.com/products/joseph-drouhin-vosne-romanee-2020
Les Vins de la Cadette 'La Soeur Cadette' Julienas 2020,HK$243.00,images\Les_Vins_de_la_Cadette_'La_Soeur_Cadette'_Julienas_2020.jpg,,,,,https://vinewine.shoplineapp.com/products/les-vins-de-la-cadette-la-soeur-cadette-julienas-2020
Chateau Canon 2012,HK$780.00,images\Chateau_Canon_2012.jpg,,,,,https://vinewine.shoplineapp.com/products/chateau-canon-2012
Reserve De La Comtesse 2012,HK$385.00,images\Reserve_De_La_Comtesse_2012.jpg,,,,,https://vinewine.shoplineapp.com/products/reserve-de-la-comtesse-2012
