Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL
Chateau Calon Segur Marquis de Calon 2015,$348.00,images\Chateau_Calon_Segur_Marquis_de_Calon_2015.jpg,Château Calon-Ségur,"Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot",France / Bordeaux / Médoc / Saint-Estèphe,Bordeaux Saint-Estèphe,https://vinewineltd.com/product/chateau-calon-segur-marquis-de-calon-2015/
Rauzan Gassies Margaux 2010 (Ex-Chateau),$899.00,images\Rauzan_Gassies_Margaux_2010_(Ex-Chateau).jpg,,,,,https://vinewineltd.com/product/rauzan-gassies-margaux-2010-ex-chateau/
Chateau Lafon-Rochet Saint-Estephe 1990,$898.00,images\Chateau_Lafon-Rochet_Saint-Estephe_1990.jpg,Château Lafon-Rochet,"Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot",France / Bordeaux / Médoc / Saint-Estèphe,Bordeaux Saint-Estèphe,https://vinewineltd.com/product/chateau-lafon-rochet-saint-estephe-1990/
La Reserve de Leoville Barton Saint-Julien 2018,$288.00,images\La_Reserve_de_Leoville_Barton_Saint-Julien_2018.jpg,Château Léoville Barton,"82% Cabernet Sauvignon, 18% Merlot",France / Bordeaux / Médoc / Saint-Julien,Bordeaux Saint-Julien,https://vinewineltd.com/product/la-reserve-de-leoville-barton-saint-julien-2018/
"Chateau Monbousquet, Saint-Emilion Grand Cru 1999",$798.00,"images\Chateau_Monbousquet,_Saint-Emilion_Grand_Cru_1999.jpg",Château Monbousquet,"Cabernet Sauvignon, Cabernet Franc, Merlot",France / Bordeaux / Libournais / Saint-Émilion / Saint-Émilion Grand Cru,Bordeaux Saint-Émilion,https://vinewineltd.com/product/chateau-monbousquet-1999/
"Chateau Montrose, Saint-Estephe 1985","$1,780.00","images\Chateau_Montrose,_Saint-Estephe_1985.jpg",Château Montrose,"Cabernet Sauvignon, Merlot",France / Bordeaux / Médoc / Saint-Estèphe,Bordeaux Saint-Estèphe,https://vinewineltd.com/product/chateau-montrose-1985/
Chateau Latour 1986,"$4,400.00",images\Chateau_Latour_1986.jpg,Château Latour,"Cabernet Sauvignon, Merlot, Petit Verdot",France / Bordeaux / Médoc / Pauillac,Bordeaux Pauillac,https://vinewineltd.com/product/chateau-latour-1986/
Chateau Haut Simard 2015,$398.00,images\Chateau_Haut_Simard_2015.jpg,,"Cabernet Sauvignon, Merlot",France / Bordeaux / Médoc / Pauillac,Bordeaux Pauillac,https://vinewineltd.com/product/chateau-haut-simard-2015/
"Chateau Giscours, Margaux 1998",$798.00,,Château Giscours,"Merlot, Cabernet Sauvignon, Cabernet Franc",France / Bordeaux / Médoc / Margaux,Bordeaux Margaux,https://vinewineltd.com/product/chateau-giscours-1998/
Chateau Talbot 2001,$820.00,images\Chateau_Talbot_2001.jpg,Château Talbot,"Cabernet Sauvignon, Merlot, Petit Verdot",France / Bordeaux / Médoc / Saint-Julien,Bordeaux Saint-Julien,https://vinewineltd.com/product/chateau-talbot-2001/
"Chateau Du Tertre, Margaux 2017",$420.00,"images\Chateau_Du_Tertre,_Margaux_2017.jpg",Château du Tertre,"40% Cabernet Sauvignon, 35% Merlot, 20% Cabernet Franc, 5% Petit Verdot",France / Bordeaux / Médoc / Margaux,Bordeaux Margaux,https://vinewineltd.com/product/chateau-du-tertre-margaux-2017/
"Chateau Olivier, Pessac Leognan 2010",$420.00,"images\Chateau_Olivier,_Pessac_Leognan_2010.jpg",Château Olivier,Cabernet Sauvignon,France / Bordeaux / Graves / Pessac-Léognan,Bordeaux Pessac-Léognan,https://vinewineltd.com/product/chateau-olivier-pessac-leognan-2010/
Chateau Tour de Mirambeau Reserve Blanc 2023,$160.00,images\Chateau_Tour_de_Mirambeau_Reserve_Blanc_2023.jpg,Château Tour de Mirambeau,Sauvignon Blanc,France / Bordeaux,Bordeaux White,https://vinewineltd.com/product/chateau-tour-de-mirambeau-cuvee-passion-blanc-2023-2/
Chateau Tour de Mirambeau Reserve Rouge 2020,$158.00,images\Chateau_Tour_de_Mirambeau_Reserve_Rouge_2020.jpg,Château Tour de Mirambeau,Merlot,France / Bordeaux,Bordeaux Red,https://vinewineltd.com/product/chateau-tour-de-mirambeau-cuvee-passion-rouge-2020/
Chateau Pichon Longueville Comtesse de Lalande ‘Pichon Comtesse Reserve’ Pauillac 2009,$562.00,images\Chateau_Pichon_Longueville_Comtesse_de_Lalande_‘Pichon_Comtesse_Reserve’_Pauillac_2009.jpg,Château Pichon Longueville Comtesse de Lalande,"Merlot, Cabernet Sauvignon, Petit Verdot",France / Bordeaux / Médoc / Pauillac,Bordeaux Pauillac,https://vinewineltd.com/product/chateau-pichon-longueville-comtesse-de-lalande-pichon-comtesse-reserve-pauillac-2009/
Chateau Branaire-Ducru 1993,$800.00,images\Chateau_Branaire-Ducru_1993.jpg,Château Branaire-Ducru,Cabernet Sauvignon,France / Bordeaux / Médoc / Saint-Julien,Bordeaux Saint-Julien,https://vinewineltd.com/product/chateau-branaire-ducru-1993/
Chateau Ducru-Beaucaillou 1979,"$2,363.00",images\Chateau_Ducru-Beaucaillou_1979.jpg,Château Ducru-Beaucaillou,100% Cabernet Sauvignon,France / Bordeaux / Médoc / Saint-Julien,Bordeaux Saint-Julien,https://vinewineltd.com/product/chateau-ducru-beaucaillou-1979/
Chateau Grand-Puy-Lacoste 1988,$880.00,images\Chateau_Grand-Puy-Lacoste_1988.jpg,Château Grand-Puy-Lacoste,"Cabernet Sauvignon, Merlot",France / Bordeaux / Médoc / Pauillac,Bordeaux Pauillac,https://vinewineltd.com/product/chateau-grand-puy-lacoste-1988/
Chateau Leoville Las Cases 1993,"$1,680.00",images\Chateau_Leoville_Las_Cases_1993.jpg,"Château Léoville Las Cases
Grapes: Cabernet Sauvignon, Cabernet Franc, Merlot",,France / Bordeaux / Médoc / Saint-Julien,Bordeaux Saint-Julien,https://vinewineltd.com/product/chateau-leoville-las-cases-1993/
Chateau Leoville Poyferre Saint-Julien 1989,"$1,372.00",images\Chateau_Leoville_Poyferre_Saint-Julien_1989.jpg,Château Léoville Poyferré,"Cabernet Franc, Merlot, Petit Verdot, Cabernet Sauvignon",France / Bordeaux / Médoc / Saint-Julien,Bordeaux Saint-Julien,https://vinewineltd.com/product/chateau-leoville-poyferre-1989/
